Step,Iteration,Increment(mm),Step,LoadingHysteresis,D(mm),Q(kN),k(N/mm),deltaD(mm),lastD(mm),lastQ(kN),stage,
           1,          94,      -1.8000000000000043,       0.3133333333333334,      55.1999999999999957,     0.27600E+01,     0.53278E+02,     0.15609E+05,    -0.90000E-01,     0.27600E+01,     0.53278E+02,           3,
           1,          95,       3.0000000000000071,       0.3166666666666668,      58.2000000000000028,     0.29100E+01,     0.55619E+02,     0.15609E+05,     0.15000E+00,     0.29100E+01,     0.55619E+02,           3,
           1,          96,      -1.8000000000000114,       0.3200000000000001,      56.3999999999999915,     0.28200E+01,     0.54214E+02,     0.15609E+05,    -0.90000E-01,     0.28200E+01,     0.54214E+02,           3,
           1,          97,       3.0000000000000071,       0.3233333333333335,      59.3999999999999986,     0.29700E+01,     0.56556E+02,     0.15609E+05,     0.15000E+00,     0.29700E+01,     0.56556E+02,           3,
           1,          98,      -1.8000000000000043,       0.3266666666666668,      57.5999999999999943,     0.28800E+01,     0.55151E+02,     0.15609E+05,    -0.90000E-01,     0.28800E+01,     0.55151E+02,           3,
           1,          99,       3.0000000000000071,       0.3300000000000002,      60.6000000000000014,     0.30300E+01,     0.57492E+02,     0.15609E+05,     0.15000E+00,     0.30300E+01,     0.57492E+02,           3,
           1,         100,      -1.8000000000000043,       0.3333333333333335,      58.7999999999999972,     0.29400E+01,     0.56088E+02,     0.15609E+05,    -0.90000E-01,     0.29400E+01,     0.56088E+02,           3,
           1,         101,       3.0000000000000000,       0.3366666666666669,      61.7999999999999972,     0.30900E+01,     0.58429E+02,     0.15609E+05,     0.15000E+00,     0.30900E+01,     0.58429E+02,           3,
           1,         102,      -1.8000000000000043,       0.3400000000000002,      59.9999999999999929,     0.30000E+01,     0.57024E+02,     0.15609E+05,    -0.90000E-01,     0.30000E+01,     0.57024E+02,           3,
           1,         103,       3.0000000000000071,       0.3433333333333336,      63.0000000000000000,     0.31500E+01,     0.59366E+02,     0.15609E+05,     0.15000E+00,     0.31500E+01,     0.59366E+02,           3,
           1,         104,      -1.8000000000000043,       0.3466666666666670,      61.1999999999999957,     0.30600E+01,     0.57961E+02,     0.15609E+05,    -0.90000E-01,     0.30600E+01,     0.57961E+02,           3,
           1,         105,       3.0000000000000071,       0.3500000000000003,      64.2000000000000028,     0.32100E+01,     0.60302E+02,     0.15609E+05,     0.15000E+00,     0.32100E+01,     0.60302E+02,           3,
           1,         106,      -1.8000000000000114,       0.3533333333333337,      62.3999999999999915,     0.31200E+01,     0.58897E+02,     0.15609E+05,    -0.90000E-01,     0.31200E+01,     0.58897E+02,           3,
           1,         107,       3.0000000000000142,       0.3566666666666670,      65.4000000000000057,     0.32700E+01,     0.61239E+02,     0.15609E+05,     0.15000E+00,     0.32700E+01,     0.61239E+02,           3,
           1,         108,      -1.8000000000000114,       0.3600000000000004,      63.5999999999999943,     0.31800E+01,     0.59834E+02,     0.15609E+05,    -0.90000E-01,     0.31800E+01,     0.59834E+02,           3,
           1,         109,       3.0000000000000000,       0.3633333333333337,      66.5999999999999943,     0.33300E+01,     0.62175E+02,     0.15609E+05,     0.15000E+00,     0.33300E+01,     0.62175E+02,           3,
           1,         110,      -1.7999999999999972,       0.3666666666666671,      64.7999999999999972,     0.32400E+01,     0.60770E+02,     0.15609E+05,    -0.90000E-01,     0.32400E+01,     0.60770E+02,           3,
           1,         111,       3.0000000000000000,       0.3700000000000004,      67.7999999999999972,     0.33900E+01,     0.63112E+02,     0.15609E+05,     0.15000E+00,     0.33900E+01,     0.63112E+02,           3,
           1,         112,      -1.7999999999999972,       0.3733333333333338,      66.0000000000000000,     0.33000E+01,     0.61707E+02,     0.15609E+05,    -0.90000E-01,     0.33000E+01,     0.61707E+02,           3,
           1,         113,       3.0000000000000000,       0.3766666666666671,      69.0000000000000000,     0.34500E+01,     0.64048E+02,     0.15609E+05,     0.15000E+00,     0.34500E+01,     0.64048E+02,           3,
           1,         114,      -1.8000000000000114,       0.3800000000000005,      67.1999999999999886,     0.33600E+01,     0.62643E+02,     0.15609E+05,    -0.90000E-01,     0.33600E+01,     0.62643E+02,           3,
           1,         115,       3.0000000000000142,       0.3833333333333339,      70.2000000000000028,     0.35100E+01,     0.64985E+02,     0.15609E+05,     0.15000E+00,     0.35100E+01,     0.64985E+02,           3,
           1,         116,      -1.8000000000000114,       0.3866666666666672,      68.3999999999999915,     0.34200E+01,     0.63580E+02,     0.15609E+05,    -0.90000E-01,     0.34200E+01,     0.63580E+02,           3,
           1,         117,       3.0000000000000142,       0.3900000000000006,      71.4000000000000057,     0.35700E+01,     0.65921E+02,     0.15609E+05,     0.15000E+00,     0.35700E+01,     0.65921E+02,           3,
           1,         118,      -1.8000000000000114,       0.3933333333333339,      69.5999999999999943,     0.34800E+01,     0.64517E+02,     0.15609E+05,    -0.90000E-01,     0.34800E+01,     0.64517E+02,           3,
           1,         119,       3.0000000000000000,       0.3966666666666673,      72.5999999999999943,     0.36300E+01,     0.66858E+02,     0.15609E+05,     0.15000E+00,     0.36300E+01,     0.66858E+02,           3,
           1,         120,      -1.7999999999999972,       0.4000000000000006,      70.7999999999999972,     0.35400E+01,     0.65453E+02,     0.15609E+05,    -0.90000E-01,     0.35400E+01,     0.65453E+02,           3,
           1,         121,       3.0000000000000000,       0.4033333333333340,      73.7999999999999972,     0.36900E+01,     0.67794E+02,     0.15609E+05,     0.15000E+00,     0.36900E+01,     0.67794E+02,           3,
           1,         122,      -1.7999999999999972,       0.4066666666666673,      72.0000000000000000,     0.36000E+01,     0.66390E+02,     0.15609E+05,    -0.90000E-01,     0.36000E+01,     0.66390E+02,           3,
           1,         123,       3.0000000000000000,       0.4100000000000007,      75.0000000000000000,     0.37500E+01,     0.68731E+02,     0.15609E+05,     0.15000E+00,     0.37500E+01,     0.68731E+02,           3,
           1,         124,      -1.8000000000000114,       0.4133333333333341,      73.1999999999999886,     0.36600E+01,     0.67326E+02,     0.15609E+05,    -0.90000E-01,     0.36600E+01,     0.67326E+02,           3,
           1,         125,       3.0000000000000142,       0.4166666666666674,      76.2000000000000028,     0.38100E+01,     0.69668E+02,     0.15609E+05,     0.15000E+00,     0.38100E+01,     0.69668E+02,           3,
           1,         126,      -1.8000000000000114,       0.4200000000000008,      74.3999999999999915,     0.37200E+01,     0.68263E+02,     0.15609E+05,    -0.90000E-01,     0.37200E+01,     0.68263E+02,           3,
           1,         127,       3.0000000000000142,       0.4233333333333341,      77.4000000000000057,     0.38700E+01,     0.70604E+02,     0.15609E+05,     0.15000E+00,     0.38700E+01,     0.70604E+02,           3,
           1,         128,      -1.8000000000000114,       0.4266666666666675,      75.5999999999999943,     0.37800E+01,     0.69199E+02,     0.15609E+05,    -0.90000E-01,     0.37800E+01,     0.69199E+02,           3,
           1,         129,       3.0000000000000000,       0.4300000000000008,      78.5999999999999943,     0.39300E+01,     0.71541E+02,     0.15609E+05,     0.15000E+00,     0.39300E+01,     0.71541E+02,           3,
           1,         130,      -1.7999999999999972,       0.4333333333333342,      76.7999999999999972,     0.38400E+01,     0.70136E+02,     0.15609E+05,    -0.90000E-01,     0.38400E+01,     0.70136E+02,           3,
           1,         131,       3.0000000000000000,       0.4366666666666675,      79.7999999999999972,     0.39900E+01,     0.72477E+02,     0.15609E+05,     0.15000E+00,     0.39900E+01,     0.72477E+02,           3,
           1,         132,      -1.7999999999999972,       0.4400000000000009,      78.0000000000000000,     0.39000E+01,     0.71072E+02,     0.15609E+05,    -0.90000E-01,     0.39000E+01,     0.71072E+02,           3,
           1,         133,       3.0000000000000000,       0.4433333333333342,      81.0000000000000000,     0.40500E+01,     0.73414E+02,     0.15609E+05,     0.15000E+00,     0.40500E+01,     0.73414E+02,           3,
           1,         134,      -1.8000000000000114,       0.4466666666666676,      79.1999999999999886,     0.39600E+01,     0.72009E+02,     0.15609E+05,    -0.90000E-01,     0.39600E+01,     0.72009E+02,           3,
           1,         135,       3.0000000000000142,       0.4500000000000010,      82.2000000000000028,     0.41100E+01,     0.74350E+02,     0.15609E+05,     0.15000E+00,     0.41100E+01,     0.74350E+02,           3,
           1,         136,      -1.8000000000000114,       0.4533333333333343,      80.3999999999999915,     0.40200E+01,     0.72946E+02,     0.15609E+05,    -0.90000E-01,     0.40200E+01,     0.72946E+02,           3,
           1,         137,       3.0000000000000142,       0.4566666666666677,      83.4000000000000057,     0.41700E+01,     0.75287E+02,     0.15609E+05,     0.15000E+00,     0.41700E+01,     0.75287E+02,           3,
           1,         138,      -1.8000000000000114,       0.4600000000000010,      81.5999999999999943,     0.40800E+01,     0.73882E+02,     0.15609E+05,    -0.90000E-01,     0.40800E+01,     0.73882E+02,           3,
           1,         139,       3.0000000000000000,       0.4633333333333344,      84.5999999999999943,     0.42300E+01,     0.76223E+02,     0.15609E+05,     0.15000E+00,     0.42300E+01,     0.76223E+02,           3,
